Date,Probable,Confirmed,Total
03/05/2020,0,1,1
03/06/2020,2,1,3
03/07/2020,2,0,2
03/08/2020,3,1,4
03/09/2020,3,3,6
03/10/2020,6,6,12
03/11/2020,2,11,13
03/12/2020,6,42,48
03/13/2020,3,25,28
03/14/2020,2,26,28
03/15/2020,4,23,27
03/16/2020,7,123,130
03/17/2020,5,148,153
03/18/2020,7,212,219
03/19/2020,3,260,263
03/20/2020,7,259,266
03/21/2020,3,190,193
03/22/2020,9,147,156
03/23/2020,12,417,429
03/24/2020,12,464,476
03/25/2020,6,474,480
03/26/2020,6,646,652
03/27/2020,11,642,653
03/28/2020,5,457,462
03/29/2020,6,338,344
03/30/2020,18,850,868
03/31/2020,16,878,894
04/01/2020,29,916,945
04/02/2020,20,881,901
04/03/2020,30,829,859
04/04/2020,15,657,672
04/05/2020,17,438,455
04/06/2020,43,1037,1080
04/07/2020,40,1118,1158
04/08/2020,21,1129,1150
04/09/2020,21,959,980
04/10/2020,21,1059,1080
04/11/2020,18,617,635
04/12/2020,29,346,375
04/13/2020,34,650,684
04/14/2020,64,1184,1248
04/15/2020,56,1035,1091
04/16/2020,40,934,974
04/17/2020,46,976,1022
04/18/2020,43,482,525
04/19/2020,32,343,375
04/20/2020,32,991,1023
04/21/2020,53,792,845
04/22/2020,40,863,903
04/23/2020,64,811,875
04/24/2020,38,723,761
04/25/2020,15,480,495
04/26/2020,15,309,324
04/27/2020,54,822,876
04/28/2020,22,714,736
04/29/2020,35,766,801
04/30/2020,40,619,659
05/01/2020,30,681,711
05/02/2020,32,423,455
05/03/2020,27,339,366
05/04/2020,28,634,662
05/05/2020,39,664,703
05/06/2020,27,494,521
05/07/2020,25,542,567
05/08/2020,37,550,587
05/09/2020,10,220,230
05/10/2020,7,198,205
05/11/2020,19,604,623
05/12/2020,30,576,606
05/13/2020,34,704,738
05/14/2020,24,493,517
05/15/2020,25,428,453
05/16/2020,12,192,204
05/17/2020,8,137,145
05/18/2020,13,473,486
05/19/2020,13,615,628
05/20/2020,22,495,517
05/21/2020,19,381,400
05/22/2020,17,301,318
05/23/2020,9,137,146
05/24/2020,6,107,113
05/25/2020,4,83,87
05/26/2020,13,364,377
05/27/2020,12,397,409
05/28/2020,11,257,268
05/29/2020,9,206,215
05/30/2020,6,115,121
05/31/2020,11,74,85
06/01/2020,4,274,278
06/02/2020,3,280,283
06/03/2020,1,197,198
06/04/2020,2,187,189
06/05/2020,2,147,149
06/06/2020,0,64,64
06/07/2020,5,43,48
06/08/2020,1,245,246
06/09/2020,3,194,197
06/10/2020,7,283,290
06/11/2020,7,125,132
06/12/2020,4,84,88
06/13/2020,1,51,52
06/14/2020,1,38,39
06/15/2020,2,117,119
06/16/2020,6,92,98
06/17/2020,1,120,121
06/18/2020,3,94,97
06/19/2020,6,79,85
06/20/2020,0,65,65
06/21/2020,3,33,36
06/22/2020,1,96,97
06/23/2020,2,110,112
06/24/2020,1,106,107
06/25/2020,6,100,106
06/26/2020,2,85,87
06/27/2020,1,43,44
06/28/2020,0,35,35
06/29/2020,5,105,110
06/30/2020,3,147,150
07/01/2020,2,136,138
07/02/2020,4,120,124
07/03/2020,3,55,58
07/04/2020,0,22,22
07/05/2020,3,41,44
07/06/2020,4,109,113
07/07/2020,2,124,126
07/08/2020,7,102,109
07/09/2020,4,89,93
07/10/2020,8,83,91
07/11/2020,4,42,46
07/12/2020,1,32,33
07/13/2020,8,105,113
07/14/2020,5,106,111
07/15/2020,2,101,103
07/16/2020,2,95,97
07/17/2020,4,62,66
07/18/2020,2,47,49
07/19/2020,4,30,34
07/20/2020,7,90,97
07/21/2020,5,110,115
07/22/2020,1,85,86
07/23/2020,3,142,145
07/24/2020,2,118,120
07/25/2020,0,51,51
07/26/2020,3,27,30
07/27/2020,2,119,121
07/28/2020,1,80,81
07/29/2020,7,92,99
07/30/2020,1,93,94
07/31/2020,2,66,68
08/01/2020,4,36,40
08/02/2020,1,30,31
08/03/2020,1,100,101
08/04/2020,3,79,82
08/05/2020,0,90,90
08/06/2020,3,103,106
08/07/2020,7,65,72
08/08/2020,2,38,40
08/09/2020,8,26,34
08/10/2020,4,81,85
08/11/2020,4,97,101
08/12/2020,5,81,86
08/13/2020,1,98,99
08/14/2020,4,80,84
08/15/2020,2,18,20
08/16/2020,0,7,7
